mukey,muname,comppct_r,compname,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,cec7_r,awc_r,field_id
85408,"Willamette silt loam, 3 to 12 percent slopes",1,Dayton,Poorly drained,56,74,0.4,5.7,42,3,55,35,0.16,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",1,Dayton,Poorly drained,74,102,0.3,6.8,35,5,60,29,0.16,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",1,Dayton,Poorly drained,102,135,0.17,6.8,26,5,69,24,0.2,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",1,Dayton,Poorly drained,135,163,0.1,7,23,15,62,25,0.2,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",1,Dayton,Poorly drained,163,193,0.05,7.2,23,15,62,25,0.2,WV_AG_014
85411,"Waldo silty clay loam, 0 to 3 percent slopes",95,Waldo,Poorly drained,0,5,7.5,5.6,32,9,59,34,0.24,WV_AG_014
85411,"Waldo silty clay loam, 0 to 3 percent slopes",95,Waldo,Poorly drained,5,18,5.5,5.7,35,9,56,33,0.22,WV_AG_014
85411,"Waldo silty clay loam, 0 to 3 percent slopes",95,Waldo,Poorly drained,18,25,3.5,5.8,38,8,54,33,0.21,WV_AG_014
85411,"Waldo silty clay loam, 0 to 3 percent slopes",95,Waldo,Poorly drained,25,38,2.5,6.1,54,7,39,45,0.17,WV_AG_014
85411,"Waldo silty clay loam, 0 to 3 percent slopes",95,Waldo,Poorly drained,38,58,1.5,5.9,54,7,39,45,0.16,WV_AG_014
85411,"Waldo silty clay loam, 0 to 3 percent slopes",95,Waldo,Poorly drained,58,94,0.7,5.8,54,7,39,45,0.16,WV_AG_014
85411,"Waldo silty clay loam, 0 to 3 percent slopes",95,Waldo,Poorly drained,94,117,0.5,5.7,47,7,46,45,0.16,WV_AG_014
85411,"Waldo silty clay loam, 0 to 3 percent slopes",95,Waldo,Poorly drained,117,152,0.35,5.7,47,7,46,45,0.16,WV_AG_014
64296,Dayton silt loam,85,Dayton,Poorly drained,0,23,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_015
64296,Dayton silt loam,85,Dayton,Poorly drained,23,38,0.75,5.6,22.5,24.8,52.7,15,0.21,WV_AG_015
64296,Dayton silt loam,85,Dayton,Poorly drained,38,102,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_015
64296,Dayton silt loam,85,Dayton,Poorly drained,102,193,0.25,6.7,22.5,24.8,52.7,15,0.18,WV_AG_015
64296,Dayton silt loam,3,Concord,Poorly drained,0,51,3,6.1,22.5,24.8,52.7,20,0.2,WV_AG_015
64296,Dayton silt loam,3,Concord,Poorly drained,51,102,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_015
64296,Dayton silt loam,3,Concord,Poorly drained,102,183,0.25,6.7,25,24,51,20,0.2,WV_AG_015
64296,Dayton silt loam,2,Dayton,Poorly drained,0,18,2.5,5.6,17.5,,,15,0.22,WV_AG_015
64296,Dayton silt loam,2,Dayton,Poorly drained,18,41,0.75,5.6,22.5,,,15,0.2,WV_AG_015
64296,Dayton silt loam,2,Dayton,Poorly drained,41,114,0.75,5.8,45,,,32.5,0.04,WV_AG_015
64296,Dayton silt loam,2,Dayton,Poorly drained,114,152,0.25,6.7,50,,,35,0.08,WV_AG_015
64319,Holcomb silt loam,85,Holcomb,Somewhat poorly drained,0,18,4,6.1,22.5,24.8,52.7,22.5,0.2,WV_AG_015
64319,Holcomb silt loam,85,Holcomb,Somewhat poorly drained,18,68,2,6.1,27.5,19.9,52.6,22.5,0.19,WV_AG_015
64319,Holcomb silt loam,85,Holcomb,Somewhat poorly drained,68,119,0.75,6.7,45,26.1,28.9,32.5,0.04,WV_AG_015
64319,Holcomb silt loam,85,Holcomb,Somewhat poorly drained,119,152,0.25,6.7,32.5,19.7,47.8,25,0.1,WV_AG_015
64319,Holcomb silt loam,3,Dayton,Poorly drained,0,23,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_015
64319,Holcomb silt loam,3,Concord,Poorly drained,0,51,3,6.1,22.5,24.8,52.7,20,0.2,WV_AG_015
64319,Holcomb silt loam,3,Dayton,Poorly drained,23,38,0.75,5.6,22.5,24.8,52.7,15,0.21,WV_AG_015
64319,Holcomb silt loam,3,Dayton,Poorly drained,38,102,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_015
64319,Holcomb silt loam,3,Concord,Poorly drained,51,102,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_015
64319,Holcomb silt loam,3,Dayton,Poorly drained,102,193,0.25,6.7,22.5,24.8,52.7,15,0.18,WV_AG_015
64319,Holcomb silt loam,3,Concord,Poorly drained,102,183,0.25,6.7,25,24,51,20,0.2,WV_AG_015
64277,Chehalis silty clay loam,85,Chehalis,Well drained,0,41,7.5,6.1,35,6.5,58.5,30,0.2,WV_AG_016
64277,Chehalis silty clay loam,85,Chehalis,Well drained,41,152,2.5,6.5,30,6.9,63.1,20,0.19,WV_AG_016
64355,McBee silty clay loam,85,McBee,Moderately well drained,0,48,4.5,6.1,31,6.9,62.1,25,0.2,WV_AG_016
64355,McBee silty clay loam,85,McBee,Moderately well drained,48,152,2.25,6.7,30,6.9,63.1,22.5,0.17,WV_AG_016
64355,McBee silty clay loam,3,Wapato,Poorly drained,0,43,6,6.2,31,6.9,62.1,25,0.2,WV_AG_016
64355,McBee silty clay loam,3,Wapato,Poorly drained,43,122,2.75,5.8,27.5,7.1,65.4,17.5,0.16,WV_AG_016
64355,McBee silty clay loam,3,Wapato,Poorly drained,122,152,1.1,6.1,45,7.2,47.8,22.5,0.16,WV_AG_016
64403,Wapato silty clay loam,85,Wapato,Poorly drained,0,43,6,6.2,31,6.9,62.1,25,0.2,WV_AG_016
64403,Wapato silty clay loam,85,Wapato,Poorly drained,43,122,2.75,5.8,27.5,7.1,65.4,17.5,0.16,WV_AG_016
64403,Wapato silty clay loam,85,Wapato,Poorly drained,122,152,1.1,6.1,45,7.2,47.8,22.5,0.16,WV_AG_016
64403,Wapato silty clay loam,5,Waldo,Poorly drained,0,51,6,5.8,33.5,18.7,47.8,27.5,0.2,WV_AG_016
64403,Wapato silty clay loam,5,Waldo,Poorly drained,51,183,2.05,5.6,47.5,5.5,47,27.5,0.16,WV_AG_016
62316,Concord silt loam,90,Concord,Poorly drained,0,20,3,6.1,22.5,22.4,55.1,20,0.2,WV_AG_017
62316,Concord silt loam,90,Concord,Poorly drained,20,79,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_017
62316,Concord silt loam,90,Concord,Poorly drained,79,152,0.25,6.7,27.5,18,54.5,20,0.2,WV_AG_017
62316,Concord silt loam,5,Dayton,Poorly drained,0,13,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_017
62316,Concord silt loam,5,Dayton,Poorly drained,13,30,0.75,5.6,28,17.8,54.2,15,0.21,WV_AG_017
62316,Concord silt loam,5,Dayton,Poorly drained,30,152,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_017
62323,Dayton silt loam,95,Dayton,Poorly drained,0,13,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_017
62323,Dayton silt loam,95,Dayton,Poorly drained,13,30,0.75,5.6,28,17.8,54.2,15,0.21,WV_AG_017
62323,Dayton silt loam,95,Dayton,Poorly drained,30,152,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_017
62323,Dayton silt loam,2,Concord,Poorly drained,0,20,3,6.1,22.5,22.4,55.1,20,0.2,WV_AG_017
62323,Dayton silt loam,2,Concord,Poorly drained,20,79,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_017
62323,Dayton silt loam,2,Concord,Poorly drained,79,152,0.25,6.7,27.5,18,54.5,20,0.2,WV_AG_017
62332,Amity silt loam,85,Amity,Somewhat poorly drained,0,64,4,5.8,20,11.4,68.6,15,0.2,WV_AG_017
62332,Amity silt loam,85,Amity,Somewhat poorly drained,64,160,1.75,6.1,31,6.7,62.3,17.5,0.2,WV_AG_017
62332,Amity silt loam,4,Concord,Poorly drained,0,20,3,6.1,22.5,22.4,55.1,20,0.2,WV_AG_017
62332,Amity silt loam,4,Concord,Poorly drained,20,79,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_017
62332,Amity silt loam,4,Concord,Poorly drained,79,152,0.25,6.7,27.5,18,54.5,20,0.2,WV_AG_017
62332,Amity silt loam,3,Dayton,Poorly drained,0,13,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_017
62332,Amity silt loam,3,Dayton,Poorly drained,13,30,0.75,5.6,28,17.8,54.2,15,0.21,WV_AG_017
62332,Amity silt loam,3,Dayton,Poorly drained,30,152,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_017
62341,Holcomb silt loam,90,Holcomb,Somewhat poorly drained,0,46,4,6.1,22.5,22.4,55.1,22.5,0.2,WV_AG_017
62341,Holcomb silt loam,90,Holcomb,Somewhat poorly drained,46,61,2,6.1,27.5,18,54.5,22.5,0.19,WV_AG_017
62341,Holcomb silt loam,90,Holcomb,Somewhat poorly drained,61,152,0.75,6.7,45,26.1,28.9,32.5,0.04,WV_AG_017
62341,Holcomb silt loam,2,Concord,Poorly drained,0,20,3,6.1,22.5,22.4,55.1,20,0.2,WV_AG_017
62341,Holcomb silt loam,2,Dayton,Poorly drained,0,13,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_017
62341,Holcomb silt loam,2,Dayton,Poorly drained,13,30,0.75,5.6,28,17.8,54.2,15,0.21,WV_AG_017
62341,Holcomb silt loam,2,Concord,Poorly drained,20,79,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_017
62341,Holcomb silt loam,2,Dayton,Poorly drained,30,152,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_017
62341,Holcomb silt loam,2,Concord,Poorly drained,79,152,0.25,6.7,27.5,18,54.5,20,0.2,WV_AG_017
62438,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,0,43,4,6.1,15,14,71,15,0.2,WV_AG_017
62438,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,43,107,1.75,6.1,27.5,7.1,65.4,15,0.2,WV_AG_017
62438,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,107,175,0.25,6.1,28,7,65,12.5,0.2,WV_AG_017
62648,"Camas gravelly sandy loam, occasionally flooded",85,Camas,Excessively drained,0,36,2,6.5,7.5,68.5,24,15,0.08,WV_AG_018
62648,"Camas gravelly sandy loam, occasionally flooded",85,Camas,Excessively drained,36,152,0.5,6.5,2.5,96,1.5,7.5,0.04,WV_AG_018
62648,"Camas gravelly sandy loam, occasionally flooded",3,Riverwash,Poorly drained,0,152,,,,,,,,WV_AG_018
62656,Cloquato silt loam,85,Cloquato,Well drained,0,36,7.5,6.1,10,21.2,68.8,17.5,0.21,WV_AG_018
62656,Cloquato silt loam,85,Cloquato,Well drained,36,127,2.5,6.7,10,21.2,68.8,7.5,0.2,WV_AG_018
62656,Cloquato silt loam,85,Cloquato,Well drained,127,152,1.5,6.7,6,,,4,0.09,WV_AG_018
62770,Newberg fine sandy loam,85,Newberg,Well drained,0,36,3,6.1,11,62.8,26.2,20,0.14,WV_AG_018
62770,Newberg fine sandy loam,85,Newberg,Well drained,36,165,0.75,6.1,10,63.5,26.5,20,0.14,WV_AG_018
64283,Coburg silty clay loam,85,Coburg,Moderately well drained,0,43,4,6.1,31,20,49,22.5,0.19,WV_AG_019
64283,Coburg silty clay loam,85,Coburg,Moderately well drained,43,157,1.25,6.7,42,7.8,50.2,22.5,0.19,WV_AG_019
64283,Coburg silty clay loam,3,Awbrig,Poorly drained,0,28,3.5,5.8,28.5,19.3,52.2,25,0.2,WV_AG_019
64283,Coburg silty clay loam,3,Conser,Poorly drained,0,43,6,6.1,31,20,49,25,0.2,WV_AG_019
64283,Coburg silty clay loam,3,Awbrig,Poorly drained,28,79,1.5,6.3,55,17.1,27.9,40,0.04,WV_AG_019
64283,Coburg silty clay loam,3,Conser,Poorly drained,43,162,2.25,6.1,47.5,5.5,47,27.5,0.15,WV_AG_019
64283,Coburg silty clay loam,3,Awbrig,Poorly drained,79,152,0.5,7,33.5,18.7,47.8,25,0.19,WV_AG_019
64283,Coburg silty clay loam,2,Courtney,Poorly drained,0,43,3.5,5.6,31,20,49,27.5,0.18,WV_AG_019
64283,Coburg silty clay loam,2,Courtney,Poorly drained,43,84,1.25,6.1,55,17.1,27.9,40,0.13,WV_AG_019
64283,Coburg silty clay loam,2,Courtney,Poorly drained,84,122,0.6,6.1,31,35.4,33.6,22.5,0.1,WV_AG_019
64283,Coburg silty clay loam,2,Courtney,Poorly drained,122,152,0.35,6.5,2.5,96,1.5,2.5,0.04,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,0,23,6,6.2,31,10,59,26.4,0.18,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,23,36,3.5,6.2,43,10,47,34.7,0.15,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,36,69,2,6.4,51,10,39,39.6,0.12,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,69,104,0.5,6.4,48,10,42,35.5,0.13,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,104,124,0.25,6.4,25,40,35,19.2,0.15,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,124,152,0.25,6.8,18,55,27,14.3,0.1,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,0,5,4,5.4,28,12,60,23.2,0.18,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,5,18,3,6.5,28,12,60,23,0.18,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,18,46,1.5,6.3,56,7,37,40.7,0.12,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,46,74,0.75,6.5,54,5,41,38.6,0.13,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,74,122,0.5,6.6,37,15,48,27.5,0.16,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,122,152,0.25,7,33,21,46,24.4,0.14,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,0,20,3.5,5.6,31,20,49,25.2,0.16,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,20,43,3.5,5.8,31,20,49,25.2,0.14,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,43,60,1.25,5.8,55,17,28,39.9,0.11,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,60,84,1.25,5.8,55,17,28,39.9,0.1,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,84,122,0.6,5.8,31,35,34,23.8,0.06,WV_AG_019
64285,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,122,152,0.35,5.8,3,95,2,3.1,0.01,WV_AG_019
64351,Malabon silty clay loam,85,Malabon,Well drained,0,43,5,6.1,31,20,49,25,0.19,WV_AG_019
64351,Malabon silty clay loam,85,Malabon,Well drained,43,152,2.25,6.2,42,7.8,50.2,25,0.19,WV_AG_019
64355,McBee silty clay loam,85,McBee,Moderately well drained,0,48,4.5,6.1,31,6.9,62.1,25,0.2,WV_AG_019
64355,McBee silty clay loam,85,McBee,Moderately well drained,48,152,2.25,6.7,30,6.9,63.1,22.5,0.17,WV_AG_019
64355,McBee silty clay loam,3,Wapato,Poorly drained,0,43,6,6.2,31,6.9,62.1,25,0.2,WV_AG_019
64355,McBee silty clay loam,3,Wapato,Poorly drained,43,122,2.75,5.8,27.5,7.1,65.4,17.5,0.16,WV_AG_019
64355,McBee silty clay loam,3,Wapato,Poorly drained,122,152,1.1,6.1,45,7.2,47.8,22.5,0.16,WV_AG_019
64377,Bashaw silty clay,85,Bashaw,Poorly drained,0,10,6,6.5,55,2.5,42.5,47.5,0.18,WV_AG_019
64377,Bashaw silty clay,85,Bashaw,Poorly drained,10,152,2.25,6.5,62.5,11.4,26.1,47.5,0.15,WV_AG_019
64377,Bashaw silty clay,85,Bashaw,Poorly drained,152,178,0.25,6.7,60,0,40,42.5,0.15,WV_AG_019
64377,Bashaw silty clay,5,Awbrig,Poorly drained,0,28,3.5,5.8,28.5,19.3,52.2,25,0.2,WV_AG_019
64377,Bashaw silty clay,5,Awbrig,Poorly drained,28,79,1.5,6.3,55,17.1,27.9,40,0.04,WV_AG_019
64377,Bashaw silty clay,5,Awbrig,Poorly drained,79,152,0.5,7,33.5,18.7,47.8,25,0.19,WV_AG_019
64377,Bashaw silty clay,3,Conser,Poorly drained,0,43,6,6.1,31,20,49,25,0.2,WV_AG_019
64377,Bashaw silty clay,3,Conser,Poorly drained,43,162,2.25,6.1,47.5,5.5,47,27.5,0.15,WV_AG_019
64377,Bashaw silty clay,2,Courtney,Poorly drained,0,43,3.5,5.6,31,20,49,27.5,0.18,WV_AG_019
64377,Bashaw silty clay,2,Courtney,Poorly drained,43,84,1.25,6.1,55,17.1,27.9,40,0.13,WV_AG_019
64377,Bashaw silty clay,2,Courtney,Poorly drained,84,122,0.6,6.1,31,35.4,33.6,22.5,0.1,WV_AG_019
64377,Bashaw silty clay,2,Courtney,Poorly drained,122,152,0.35,6.5,2.5,96,1.5,2.5,0.04,WV_AG_019
64377,Bashaw silty clay,1,Dayton,Poorly drained,0,23,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_019
64377,Bashaw silty clay,1,Dayton,Poorly drained,23,38,0.75,5.6,22.5,24.8,52.7,15,0.21,WV_AG_019
64377,Bashaw silty clay,1,Dayton,Poorly drained,38,102,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_019
64377,Bashaw silty clay,1,Dayton,Poorly drained,102,193,0.25,6.7,22.5,24.8,52.7,15,0.18,WV_AG_019
64403,Wapato silty clay loam,85,Wapato,Poorly drained,0,43,6,6.2,31,6.9,62.1,25,0.2,WV_AG_019
64403,Wapato silty clay loam,85,Wapato,Poorly drained,43,122,2.75,5.8,27.5,7.1,65.4,17.5,0.16,WV_AG_019
64403,Wapato silty clay loam,85,Wapato,Poorly drained,122,152,1.1,6.1,45,7.2,47.8,22.5,0.16,WV_AG_019
64403,Wapato silty clay loam,5,Waldo,Poorly drained,0,51,6,5.8,33.5,18.7,47.8,27.5,0.2,WV_AG_019
64403,Wapato silty clay loam,5,Waldo,Poorly drained,51,183,2.05,5.6,47.5,5.5,47,27.5,0.16,WV_AG_019
64078,Cloquato silt loam,85,Cloquato,Well drained,0,23,7.5,6.1,10,21.2,68.8,17.5,0.21,WV_AG_020
64078,Cloquato silt loam,85,Cloquato,Well drained,23,104,2.5,6.7,10,21.2,68.8,7.5,0.2,WV_AG_020
64078,Cloquato silt loam,85,Cloquato,Well drained,104,211,0.5,6.7,7.5,21.7,70.8,3.5,0.14,WV_AG_020
64166,Wapato silty clay loam,90,Wapato,Poorly drained,0,41,6,6.2,31,6.7,62.3,25,0.2,WV_AG_020
64166,Wapato silty clay loam,90,Wapato,Poorly drained,41,152,2.75,5.8,27.5,7.1,65.4,17.5,0.16,WV_AG_020
62341,Holcomb silt loam,90,Holcomb,Somewhat poorly drained,0,46,4,6.1,22.5,22.4,55.1,22.5,0.2,WV_AG_021
62341,Holcomb silt loam,90,Holcomb,Somewhat poorly drained,46,61,2,6.1,27.5,18,54.5,22.5,0.19,WV_AG_021
62341,Holcomb silt loam,90,Holcomb,Somewhat poorly drained,61,152,0.75,6.7,45,26.1,28.9,32.5,0.04,WV_AG_021
62341,Holcomb silt loam,2,Concord,Poorly drained,0,20,3,6.1,22.5,22.4,55.1,20,0.2,WV_AG_021
62341,Holcomb silt loam,2,Dayton,Poorly drained,0,13,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_021
62341,Holcomb silt loam,2,Dayton,Poorly drained,13,30,0.75,5.6,28,17.8,54.2,15,0.21,WV_AG_021
62341,Holcomb silt loam,2,Concord,Poorly drained,20,79,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_021
62341,Holcomb silt loam,2,Dayton,Poorly drained,30,152,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_021
62341,Holcomb silt loam,2,Concord,Poorly drained,79,152,0.25,6.7,27.5,18,54.5,20,0.2,WV_AG_021
62348,"Jory silty clay loam, 2 to 12 percent slopes",85,Jory,Well drained,0,51,4.5,5.5,33.5,17.5,49,17.5,0.2,WV_AG_021
62348,"Jory silty clay loam, 2 to 12 percent slopes",85,Jory,Well drained,51,178,1.25,5,52.5,18.2,29.3,17.5,0.16,WV_AG_021
62412,"Steiwer silt loam, 3 to 12 percent slopes",85,Steiwer,Well drained,0,38,3.5,5.8,23.5,21.7,54.8,15,0.19,WV_AG_021
62412,"Steiwer silt loam, 3 to 12 percent slopes",85,Steiwer,Well drained,38,66,1.5,5.6,31,18.1,50.9,17.5,0.19,WV_AG_021
62412,"Steiwer silt loam, 3 to 12 percent slopes",85,Steiwer,Well drained,66,76,,,,,,,,WV_AG_021
62427,Waldo silty clay loam,90,Waldo,Poorly drained,0,33,6,5.8,33.5,17.5,49,27.5,0.2,WV_AG_021
62427,Waldo silty clay loam,90,Waldo,Poorly drained,33,152,2.05,5.6,47.5,5.5,47,27.5,0.16,WV_AG_021
62427,Waldo silty clay loam,5,Bashaw,Poorly drained,0,28,6,6.5,37.5,18.5,44,35,0.2,WV_AG_021
62427,Waldo silty clay loam,5,Bashaw,Poorly drained,28,130,2.25,6.5,65,10.4,24.6,47.5,0.15,WV_AG_021
62427,Waldo silty clay loam,5,Bashaw,Poorly drained,130,152,0.25,6.7,60,0,40,42.5,0.15,WV_AG_021
62312,"Coburg silty clay loam, occasionally flooded",85,Coburg,Moderately well drained,0,38,4,6.1,31,18.1,50.9,22.5,0.19,WV_AG_022
62312,"Coburg silty clay loam, occasionally flooded",85,Coburg,Moderately well drained,38,152,1.25,6.7,40,8,52,22.5,0.19,WV_AG_022
62427,Waldo silty clay loam,90,Waldo,Poorly drained,0,33,6,5.8,33.5,17.5,49,27.5,0.2,WV_AG_022
62427,Waldo silty clay loam,90,Waldo,Poorly drained,33,152,2.05,5.6,47.5,5.5,47,27.5,0.16,WV_AG_022
62427,Waldo silty clay loam,5,Bashaw,Poorly drained,0,28,6,6.5,37.5,18.5,44,35,0.2,WV_AG_022
62427,Waldo silty clay loam,5,Bashaw,Poorly drained,28,130,2.25,6.5,65,10.4,24.6,47.5,0.15,WV_AG_022
62427,Waldo silty clay loam,5,Bashaw,Poorly drained,130,152,0.25,6.7,60,0,40,42.5,0.15,WV_AG_022
62428,Wapato silty clay loam,90,Wapato,Poorly drained,0,38,6,6.2,31,6.7,62.3,25,0.2,WV_AG_022
62428,Wapato silty clay loam,90,Wapato,Poorly drained,38,152,2.75,5.8,31,6.7,62.3,17.5,0.16,WV_AG_022
62428,Wapato silty clay loam,4,Waldo,Poorly drained,0,33,6,5.8,33.5,17.5,49,27.5,0.2,WV_AG_022
62428,Wapato silty clay loam,4,Waldo,Poorly drained,33,152,2.05,5.6,47.5,5.5,47,27.5,0.16,WV_AG_022
62428,Wapato silty clay loam,2,Cove,Poorly drained,0,20,6,6.1,35,16.9,48.1,32.5,0.2,WV_AG_022
62428,Wapato silty clay loam,2,Cove,Poorly drained,20,152,2.6,6.7,55,17.1,27.9,42.5,0.16,WV_AG_022
62433,"Willamette silt loam, 0 to 3 percent slopes",85,Willamette,Well drained,0,66,4,6.1,23.5,7,69.5,17.5,0.2,WV_AG_022
62433,"Willamette silt loam, 0 to 3 percent slopes",85,Willamette,Well drained,66,132,2,6.1,30,6.8,63.2,17.5,0.2,WV_AG_022
62433,"Willamette silt loam, 0 to 3 percent slopes",85,Willamette,Well drained,132,175,0.25,6.1,28,7,65,12.5,0.2,WV_AG_022
62433,"Willamette silt loam, 0 to 3 percent slopes",2,Concord,Poorly drained,0,20,3,6.1,22.5,22.4,55.1,20,0.2,WV_AG_022
62433,"Willamette silt loam, 0 to 3 percent slopes",2,Dayton,Poorly drained,0,13,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_022
62433,"Willamette silt loam, 0 to 3 percent slopes",2,Dayton,Poorly drained,13,30,0.75,5.6,28,17.8,54.2,15,0.21,WV_AG_022
62433,"Willamette silt loam, 0 to 3 percent slopes",2,Concord,Poorly drained,20,79,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_022
62433,"Willamette silt loam, 0 to 3 percent slopes",2,Dayton,Poorly drained,30,152,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_022
62433,"Willamette silt loam, 0 to 3 percent slopes",2,Concord,Poorly drained,79,152,0.25,6.7,27.5,18,54.5,20,0.2,WV_AG_022
62438,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,0,43,4,6.1,15,14,71,15,0.2,WV_AG_022
62438,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,43,107,1.75,6.1,27.5,7.1,65.4,15,0.2,WV_AG_022
62438,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,107,175,0.25,6.1,28,7,65,12.5,0.2,WV_AG_022
64070,Amity silt loam,85,Amity,Somewhat poorly drained,0,61,4,5.8,20,11.4,68.6,15,0.2,WV_AG_023
64070,Amity silt loam,85,Amity,Somewhat poorly drained,61,94,1.75,6.1,31,6.7,62.3,17.5,0.2,WV_AG_023
64070,Amity silt loam,85,Amity,Somewhat poorly drained,94,152,0.25,6.3,17.5,13.6,68.9,10,0.2,WV_AG_023
64070,Amity silt loam,5,Concord,Poorly drained,0,38,3,6.1,22.5,22.4,55.1,20,0.2,WV_AG_023
64070,Amity silt loam,5,Concord,Poorly drained,38,74,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_023
64070,Amity silt loam,5,Concord,Poorly drained,74,152,0.25,6.7,27,18.8,54.2,20,0.2,WV_AG_023
64173,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,0,43,4,6.1,15,14,71,15,0.2,WV_AG_023
64173,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,43,81,1.75,6.1,27.5,7.1,65.4,15,0.2,WV_AG_023
64173,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,81,173,0.25,6.1,22.5,7.2,70.3,12.5,0.2,WV_AG_023
62648,"Camas gravelly sandy loam, occasionally flooded",85,Camas,Excessively drained,0,36,2,6.5,7.5,68.5,24,15,0.08,WV_AG_024
62648,"Camas gravelly sandy loam, occasionally flooded",85,Camas,Excessively drained,36,152,0.5,6.5,2.5,96,1.5,7.5,0.04,WV_AG_024
62648,"Camas gravelly sandy loam, occasionally flooded",3,Riverwash,Poorly drained,0,152,,,,,,,,WV_AG_024
62770,Newberg fine sandy loam,85,Newberg,Well drained,0,36,3,6.1,11,62.8,26.2,20,0.14,WV_AG_024
62770,Newberg fine sandy loam,85,Newberg,Well drained,36,165,0.75,6.1,10,63.5,26.5,20,0.14,WV_AG_024
62771,Newberg loam,85,Newberg,Well drained,0,36,3,6.1,11,45.6,43.4,20,0.22,WV_AG_024
