mukey,muname,comppct_r,compname,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,cec7_r,awc_r,field_id
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",87,Awbrig,Poorly drained,0,5,4,5.4,28,12,60,23.2,0.18,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",87,Awbrig,Poorly drained,5,18,3,6.5,28,12,60,23,0.18,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",87,Awbrig,Poorly drained,18,46,1.5,6.3,56,7,37,40.7,0.12,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",87,Awbrig,Poorly drained,46,74,0.75,6.5,54,5,41,38.6,0.13,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",87,Awbrig,Poorly drained,74,122,0.5,6.6,37,15,48,27.5,0.16,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",87,Awbrig,Poorly drained,122,152,0.25,7,33,21,46,24.4,0.14,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",2,Bashaw,Poorly drained,0,8,7.5,5.8,60,10,30,45.6,0.18,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",2,Courtney,Poorly drained,0,20,3.5,5.6,31,20,49,25.2,0.16,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",2,Bashaw,Poorly drained,8,36,3.5,6,63,5,32,46.4,0.16,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",2,Courtney,Poorly drained,20,43,3.5,5.8,31,20,49,25.2,0.14,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",2,Bashaw,Poorly drained,36,79,2,6.6,63,5,32,45.5,0.14,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",2,Courtney,Poorly drained,43,60,1.25,5.8,55,17,28,39.9,0.11,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",2,Courtney,Poorly drained,60,84,1.25,5.8,55,17,28,39.9,0.1,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",2,Bashaw,Poorly drained,79,122,1.2,7,63,5,32,44.8,0.14,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",2,Courtney,Poorly drained,84,122,0.6,5.8,31,35,34,23.8,0.06,WV_AG_009
62689,"Awbrig silty clay loam, 0 to 2 percent slopes",2,Bashaw,Poorly drained,122,152,0.5,7,60,15,25,41.7,0.14,WV_AG_009
