var1,var2,pearson_r,pearson_p,spearman_r,spearman_p,significant
silt_pct,awc,0.7518727281586368,3.1096611478091545e-10,0.770486686577103,6.027583326573791e-11,Yes
sand_pct,silt_pct,-0.7452001862783015,5.409312906055516e-10,-0.8011044417767106,2.8221404935829426e-12,Yes
sand_pct,awc,-0.7406058032431598,7.842214542861833e-10,-0.7948810297856519,5.480547587299674e-12,Yes
clay_pct,cec,0.7327149689127473,1.4580036501895793e-09,0.6780894297240183,6.299309249265389e-08,Yes
clay_pct,sand_pct,-0.710702888623066,7.373500309672965e-09,-0.29409081162573064,0.038169713071108134,Yes
sand_pct,cec,-0.5482172187797414,3.7674001053879835e-05,-0.3067355046720741,0.030264241191780124,Yes
ph,clay_pct,-0.5400516467213271,5.169142297667137e-05,-0.4993036551884567,0.0002231906142367551,Yes
om_pct,ph,-0.43209688549628805,0.001727279654755005,-0.23022066421984663,0.10774331309281633,Yes
om_pct,awc,0.4262216859418919,0.002026736543008738,0.38975196303885595,0.00514464734257073,Yes
ph,awc,-0.3517514085323892,0.012246203764127286,-0.3626104494813676,0.009655540967790118,Yes
