,om_pct,ph,clay_pct,sand_pct,silt_pct,cec,awc
om_pct,1.0,-0.4321,0.1219,-0.1079,0.056,-0.0665,0.4262
ph,-0.4321,1.0,-0.5401,0.2955,0.081,-0.1071,-0.3518
clay_pct,0.1219,-0.5401,1.0,-0.7107,0.0624,0.7327,0.3206
sand_pct,-0.1079,0.2955,-0.7107,1.0,-0.7452,-0.5482,-0.7406
silt_pct,0.056,0.081,0.0624,-0.7452,1.0,0.0789,0.7519
cec,-0.0665,-0.1071,0.7327,-0.5482,0.0789,1.0,0.147
awc,0.4262,-0.3518,0.3206,-0.7406,0.7519,0.147,1.0
