variable,n_groups,f_statistic,p_value,significant
om_pct,3,3.9671088392855314,0.02558529775537066,Yes
ph,3,1.2190331032521193,0.3046877573620364,No
clay_pct,3,4.691397147686462,0.013878887931443555,Yes
cec,3,20.434123634019635,4.1138506346190567e-07,Yes
