,mukey,comppct_r,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,cec7_r,awc_r
count,990.0,990.0,990.0,990.0,968.0,968.0,968.0,938.0,938.0,963.0,969.0
mean,65895.68,46.39,42.7,91.26,2.28,6.12,32.26,20.87,46.85,23.78,0.16
std,6708.5,42.06,42.3,55.61,3.78,0.46,14.09,18.43,14.62,9.95,0.05
min,62312.0,1.0,0.0,3.0,0.05,4.5,2.5,0.0,1.5,1.5,0.0
25%,62662.0,3.0,0.0,38.0,0.6,5.8,22.5,7.7,39.0,15.0,0.14
50%,64210.0,85.0,36.0,84.0,1.5,6.1,31.0,17.65,49.0,22.5,0.18
75%,64355.0,85.0,74.0,152.0,3.0,6.5,42.5,24.8,54.2,30.0,0.2
max,85411.0,100.0,163.0,211.0,75.0,7.2,65.0,96.0,74.0,55.0,0.45
