,lat,lon,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS10M
count,109600.0,109600.0,109600.0,109600.0,109600.0,109600.0,109600.0,109600.0,109600.0
mean,44.56,-123.05,10.81,16.28,6.18,3.95,14.3,83.24,2.2
std,0.31,0.18,6.07,7.96,4.84,7.57,9.03,11.1,0.85
min,43.97,-123.38,-7.47,-3.94,-12.55,0.0,0.3,20.1,0.67
25%,44.23,-123.19,5.81,9.73,2.47,0.01,6.12,76.56,1.6
50%,44.59,-123.09,10.15,14.86,6.13,0.21,12.89,83.67,2.02
75%,44.83,-122.92,16.05,22.96,10.12,4.74,21.97,92.65,2.62
max,45.08,-122.7,30.8,43.97,21.13,105.11,32.62,100.0,7.62
